filename,interval_label,start,end,step,stepnumber,f0,jumpkilleffect
003byge-unasp-bilab-high-nst-NA-NA-NA-NA-NA,byge,1.823,2.06,0.079,7,-0.0545438567889269,1
003byge-unasp-bilab-high-nst-NA-NA-NA-NA-NA,byge,1.823,2.06,0.09,8,-0.0434197701057205,1
003byge-unasp-bilab-high-nst-NA-NA-NA-NA-NA,byge,1.823,2.06,0.102,9,-0.0281699956898606,1
003byge-unasp-bilab-high-nst-NA-NA-NA-NA-NA,byge,1.823,2.06,0.113,10,-0.0109834511622133,1
003byge-unasp-bilab-high-nst-NA-NA-NA-NA-NA,byge,1.823,2.06,0.124,11,0.0109004639171007,1
003byge-unasp-bilab-high-nst-NA-NA-NA-NA-NA,byge,1.823,2.06,0.136,12,0.0344318274523438,1
003byge-unasp-bilab-high-nst-NA-NA-NA-NA-NA,byge,1.823,2.06,0.147,13,0.0595359675189234,1
003byge-unasp-bilab-high-nst-NA-NA-NA-NA-NA,byge,1.823,2.06,0.158,14,0.0851216381362086,1
003byge-unasp-bilab-high-nst-NA-NA-NA-NA-NA,byge,1.823,2.06,0.169,15,0.110115872149742,1
003byge-unasp-bilab-high-nst-NA-NA-NA-NA-NA,byge,1.823,2.06,0.181,16,0.12633720384988,1
003byge-unasp-bilab-high-nst-NA-NA-NA-NA-NA,byge,1.823,2.06,0.192,17,0.132435738042368,1
003byge-unasp-bilab-high-nst-NA-NA-NA-NA-NA,byge,1.823,2.06,0.203,18,0.127359094401702,1
003byge-unasp-bilab-high-nst-NA-NA-NA-NA-NA,byge,1.823,2.06,0.215,19,0.11571741119405,1
003byge-unasp-bilab-high-nst-NA-NA-NA-NA-NA,byge,1.823,2.06,0.226,20,0.0904002328489792,1
003dele-unasp-alv-high-nst-NA-NA-NA-NA-NA,dele,1.594,1.97,0.018,1,-0.227130497716604,1
003dele-unasp-alv-high-nst-NA-NA-NA-NA-NA,dele,1.594,1.97,0.036,2,-0.288376251562313,1
003dele-unasp-alv-high-nst-NA-NA-NA-NA-NA,dele,1.594,1.97,0.054,3,-0.275877923916971,1
003dele-unasp-alv-high-nst-NA-NA-NA-NA-NA,dele,1.594,1.97,0.072,4,-0.247708586259735,1
003dele-unasp-alv-high-nst-NA-NA-NA-NA-NA,dele,1.594,1.97,0.09,5,-0.217897205061212,1
003dele-unasp-alv-high-nst-NA-NA-NA-NA-NA,dele,1.594,1.97,0.108,6,-0.174241861273267,1
003dele-unasp-alv-high-nst-NA-NA-NA-NA-NA,dele,1.594,1.97,0.125,7,-0.126788602304203,1
003dele-unasp-alv-high-nst-NA-NA-NA-NA-NA,dele,1.594,1.97,0.143,8,-0.0721418676197889,1
003dele-unasp-alv-high-nst-NA-NA-NA-NA-NA,dele,1.594,1.97,0.161,9,-0.017972996111629,1
003dele-unasp-alv-high-nst-NA-NA-NA-NA-NA,dele,1.594,1.97,0.179,10,-0.00958889592985498,1
003dele-unasp-alv-high-nst-NA-NA-NA-NA-NA,dele,1.594,1.97,0.197,11,0.00952558375180457,1
003dele-unasp-alv-high-nst-NA-NA-NA-NA-NA,dele,1.594,1.97,0.215,12,0.0315569695321148,1
003dele-unasp-alv-high-nst-NA-NA-NA-NA-NA,dele,1.594,1.97,0.233,13,0.0383134408002405,1
003dele-unasp-alv-high-nst-NA-NA-NA-NA-NA,dele,1.594,1.97,0.251,14,0.0349138453150303,1
